Id,Address_State,Application_Type,Emp_Length,Emp_Title,Grade,Home_Ownership,Issue_Date,Last_Credit_Pull_Date,Last_Payment_Date,Loan_Status,Next_Payment_Date,Member_Id,Purpose,Sub_Grade,Term,Verification_Status,Annual_Income,Dti,Installment,Int_Rate,Loan_Amount,Total_Acc,Total_Payment,Emp_Length_Clean,Reliability_Score (%)
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,44477,44332,00:00.0,Charged Off,44478,366581,Car,C3, 36 months,Not Verified,48000,0.1753,200.47,0.1241,6000,14,5104,2 years,33.5
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,44419,44332,00:00.0,Charged Off,44360,1059380,Car,C3, 36 months,Not Verified,105000,0.135,382.74,0.1399,11200,29,8037,7 years,33.5
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,44541,44332,00:00.0,Charged Off,44300,1275383,Car,D2, 36 months,Not Verified,59100,0.1287,106.62,0.1677,3000,13,2772,4 years,33.5
126392,WI,INDIVIDUAL, 1 year,Tideway Systems,A,MORTGAGE,44446,44415,00:00.0,Fully Paid,44324,125914,Car,A4, 36 months,Not Verified,173000,0.0072,313.67,0.0807,10000,41,10435,1 year,70
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,44235,44326,00:00.0,Fully Paid,44357,188654,Car,B2, 36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149,5 years,75
226154,MN,INDIVIDUAL,10 years,Ramsey County,E,MORTGAGE,44204,44207,00:00.0,Fully Paid,44266,225530,Car,E1, 36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146,10 years,80
196380,CA,INDIVIDUAL,10 years,Comerica Bank,A,RENT,44204,44237,00:00.0,Fully Paid,44265,188466,Car,A4, 36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247,10 years,80
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,44235,44449,00:00.0,Fully Paid,44479,219037,Car,B5, 36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982,2 years,65
281384,TN,INDIVIDUAL, 1 year,Church of God of Prophecy,C,RENT,44263,44266,00:00.0,Fully Paid,44297,281309,Car,C3, 36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164,1 year,70
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,44235,44332,00:00.0,Fully Paid,44387,253974,Car,C1, 36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498,2 years,65
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,44325,44328,00:00.0,Fully Paid,44359,446077,Car,A2, 36 months,Not Verified,28500,0.0223,265.13,0.0768,8500,10,9544,1 year,70
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,44480,44483,00:00.0,Fully Paid,44514,1195796,Car,A2, 36 months,Not Verified,149400,0.0994,214.93,0.0662,7000,43,7737,1 year,70
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,44327,44332,00:00.0,Fully Paid,44361,943695,Car,A3, 36 months,Not Verified,38400,0.0319,74.1,0.0699,2400,7,2667,1 year,70
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,44207,44210,00:00.0,Fully Paid,44241,832879,Car,A4, 36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466,1 year,70
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,44358,44388,00:00.0,Fully Paid,44450,984370,Car,A1, 36 months,Not Verified,33600,0.0161,90.48,0.0542,3000,15,3014,10 years,80
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,44358,44302,00:00.0,Fully Paid,44422,1001198,Car,A1, 36 months,Not Verified,79200,0.0218,150.8,0.0542,5000,28,5429,10 years,80
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,44266,44450,00:00.0,Fully Paid,44480,873188,Car,A1, 36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556,10 years,80
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,44450,44453,00:00.0,Fully Paid,44514,1102391,Car,A1, 36 months,Not Verified,41784,0.1872,152.18,0.0603,5000,22,5478,10 years,80
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,44480,44302,00:00.0,Fully Paid,44453,1230439,Car,A1, 36 months,Not Verified,54000,0.2407,182.62,0.0603,6000,32,6569,10 years,80
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,44480,44332,00:00.0,Fully Paid,44544,1103400,Car,A1, 36 months,Not Verified,114000,0.1658,219.14,0.0603,7200,52,7889,10 years,80
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,44358,44208,00:00.0,Fully Paid,44239,972180,Car,A2, 36 months,Not Verified,39600,0.1406,182.51,0.0599,6000,32,6194,10 years,80
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,44387,44332,00:00.0,Fully Paid,44421,699868,Car,A2, 36 months,Not Verified,57431,0.0618,123.07,0.0676,4000,21,4431,10 years,80
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,44509,44512,00:00.0,Fully Paid,44542,569597,Car,A3, 36 months,Not Verified,26000,0.0429,218.54,0.0774,7000,11,7867,10 years,80
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,44511,44332,00:00.0,Fully Paid,44453,1257204,Car,A3, 36 months,Not Verified,58000,0.2692,56,0.0751,1800,28,2013,10 years,80
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,44238,44241,00:00.0,Fully Paid,44269,845936,Car,A4, 36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257,10 years,80
823069,CT,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,44388,44512,00:00.0,Fully Paid,44542,1031607,Car,A4, 36 months,Not Verified,68000,0.0286,248.82,0.0749,8000,13,8615,10 years,80
390651,VA,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,44295,44392,00:00.0,Fully Paid,44328,425903,Car,A4, 36 months,Not Verified,135000,0.0518,255.58,0.0932,8000,14,9201,10 years,80
866551,IL,INDIVIDUAL,10+ years,City of Chicago,A,MORTGAGE,44450,44453,00:00.0,Fully Paid,44483,1079988,Car,A4, 36 months,Not Verified,110400,0.1916,93.31,0.0749,3000,41,3359,10 years,80
472637,TX,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,44539,44541,00:00.0,Fully Paid,44572,596861,Car,A1, 36 months,Not Verified,54000,0.0267,268.83,0.0705,8700,15,9538,2 years,65
628369,TX,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,44540,44543,00:00.0,Fully Paid,44574,805177,Car,A3, 36 months,Not Verified,36000,0.1997,54.9,0.0617,1800,21,1977,2 years,65
564180,CA,INDIVIDUAL,3 years,California Department of Justice,A,MORTGAGE,44418,44421,00:00.0,Fully Paid,44482,725950,Car,A1, 36 months,Not Verified,120000,0.052,140.76,0.0639,4600,42,5068,3 years,65
1050642,OH,INDIVIDUAL,3 years,Ares Inc.,A,MORTGAGE,44541,44361,00:00.0,Fully Paid,44391,1281883,Car,A2, 36 months,Not Verified,62352,0.1207,116.68,0.0662,3800,24,4187,3 years,65
390765,MD,INDIVIDUAL,3 years,Rummel  Klepper  and  Kahl,A,MORTGAGE,44295,44265,00:00.0,Fully Paid,44265,426115,Car,A3, 36 months,Not Verified,60000,0.0036,313.37,0.08,10000,11,10513,3 years,65
471543,FL,INDIVIDUAL,4 years,Sarasota Memorial Hospital,A,MORTGAGE,44539,44419,00:00.0,Fully Paid,44450,595343,Car,A1, 36 months,Not Verified,241875,0.064,494.4,0.0705,16000,24,17370,4 years,65
550334,VA,INDIVIDUAL,4 years,Fairfax County Govt.,A,MORTGAGE,44387,44332,00:00.0,Fully Paid,44297,709388,Car,A2, 36 months,Not Verified,96000,0.0829,138.46,0.0676,4500,28,4613,4 years,65
399481,FL,INDIVIDUAL,4 years,Martin County School District,A,MORTGAGE,44325,44271,00:00.0,Fully Paid,44359,442237,Car,A3, 36 months,Not Verified,81804,0.0898,282.03,0.08,9000,30,10153,4 years,65
887905,VA,INDIVIDUAL,5 years,City of Richmond,A,MORTGAGE,44450,44332,00:00.0,Fully Paid,44514,1104233,Car,A1, 36 months,Not Verified,51000,0.1753,121.75,0.0603,4000,15,4383,5 years,75
803977,WA,INDIVIDUAL,5 years,Bellevue School District,A,MORTGAGE,44388,44332,00:00.0,Fully Paid,44422,1009793,Car,A1, 36 months,Not Verified,42000,0.044,180.96,0.0542,6000,31,6515,5 years,75
500124,AZ,INDIVIDUAL,5 years,ST Microelectronics,A,MORTGAGE,44296,44240,00:00.0,Fully Paid,44268,642219,Car,A3, 36 months,Not Verified,85000,0.0329,247.52,0.0714,8000,32,8906,5 years,75
1040942,PA,INDIVIDUAL,5 years,Agusta Westland,A,MORTGAGE,44541,44390,00:00.0,Fully Paid,44421,1271153,Car,A4, 36 months,Not Verified,139200,0.2009,187.75,0.079,6000,31,6395,5 years,75
720394,NV,INDIVIDUAL,6 years,Washoe County School District,A,MORTGAGE,44297,44299,00:00.0,Fully Paid,44299,914846,Car,A3, 36 months,Not Verified,37459,0.0061,172.71,0.0692,5600,8,6130,6 years,65
673841,CA,INDIVIDUAL,6 years,Templeton Steel,A,MORTGAGE,44238,44390,00:00.0,Fully Paid,44480,861281,Car,A4, 36 months,Not Verified,60000,0.014,94.59,0.0729,3050,12,3170,6 years,65
708650,FL,INDIVIDUAL,7 years,Centurylink,A,MORTGAGE,44266,44543,00:00.0,Fully Paid,44574,901168,Car,A3, 36 months,Not Verified,72000,0.0217,154.21,0.0692,5000,11,5543,7 years,65
645985,CA,INDIVIDUAL,8 years,Hunter Industries,A,MORTGAGE,44207,44242,00:00.0,Fully Paid,44268,826524,Car,A1, 36 months,Not Verified,110000,0.0524,235.25,0.0542,7800,27,8388,8 years,65
863309,CT,INDIVIDUAL,8 years,"Stafford Family Chiropractic, LLC",A,MORTGAGE,44450,44453,00:00.0,Fully Paid,44483,1076434,Car,A2, 36 months,Not Verified,77040,0.205,179.47,0.0599,5900,30,6461,8 years,65
726906,VA,INDIVIDUAL,8 years,mary washington hospital,A,MORTGAGE,44297,44545,00:00.0,Fully Paid,44268,922378,Car,A4, 36 months,Not Verified,40560,0.0737,93.03,0.0729,3000,47,3292,8 years,65
1039551,CA,INDIVIDUAL,9 years,Townsend Design,A,MORTGAGE,44511,44332,00:00.0,Fully Paid,44575,1269489,Car,A1, 36 months,Not Verified,54960,0.1085,167.4,0.0603,5500,15,6026,9 years,65
759237,MO,INDIVIDUAL,< 1 year,Tri-River Design & Construction,A,MORTGAGE,44327,44330,00:00.0,Fully Paid,44391,959469,Car,A1, 36 months,Not Verified,65000,0.1927,120.64,0.0542,4000,20,4343,1 year,70
455641,CT,INDIVIDUAL,< 1 year,College of Westchester,A,MORTGAGE,44237,44484,00:00.0,Fully Paid,44299,565159,Car,A5, 36 months,Not Verified,52000,0.0909,312.81,0.0788,10000,20,11277,1 year,70
396521,MA,INDIVIDUAL,3 years,Harvard University,A,MORTGAGE,44325,44484,00:00.0,Fully Paid,44387,436823,Car,A3, 36 months,Not Verified,99996,0.0432,250.69,0.08,8000,18,8551,3 years,65
1044077,FL,INDIVIDUAL,1 year,"E-Z-GO, Textron",A,MORTGAGE,44511,44332,00:00.0,Fully Paid,44575,1274416,Car,A2, 36 months,Not Verified,45000,0.1632,92.12,0.0662,3000,23,3316,1 year,70
757255,FL,INDIVIDUAL,1 year,Florida Farm Bureau Insurance Company,A,MORTGAGE,44358,44361,00:00.0,Fully Paid,44391,957278,Car,A5, 36 months,Not Verified,55000,0.1647,252.51,0.0849,8000,27,9090,1 year,70
472636,VA,INDIVIDUAL,10+ years,Prince William County Schools,A,MORTGAGE,44206,44240,00:00.0,Fully Paid,44240,596860,Car,A1, 36 months,Not Verified,75000,0.0173,247.2,0.0705,8000,24,8900,10 years,80
552448,MO,INDIVIDUAL,10+ years,"Hodgdon Powder Company,  Inc.",A,MORTGAGE,44387,44454,00:00.0,Fully Paid,44268,711857,Car,A2, 36 months,Not Verified,70000,0.101,135.38,0.0676,4400,15,4858,10 years,80
508736,PA,INDIVIDUAL,10+ years,Sarnoff Corporation,A,MORTGAGE,44296,44420,00:00.0,Fully Paid,44451,656465,Car,A2, 36 months,Not Verified,73400,0.0281,64.62,0.0676,2100,28,2306,10 years,80
707303,WV,INDIVIDUAL,10+ years,Champion Industries-CPC Printing,A,MORTGAGE,44266,44271,00:00.0,Fully Paid,44240,899636,Car,A2, 36 months,Not Verified,40000,0.0885,121.31,0.0579,4000,31,4299,10 years,80
597469,IL,INDIVIDUAL,10+ years,Finley Hospital,A,MORTGAGE,44479,44419,00:00.0,Fully Paid,44450,766903,Car,A2, 36 months,Not Verified,52800,0.1527,59.23,0.0676,1925,43,2013,10 years,80
661158,AZ,INDIVIDUAL,2 years,TrueNorth Insurance Companies,A,MORTGAGE,44207,44332,00:00.0,Fully Paid,44269,845559,Car,A1, 36 months,Not Verified,105000,0.0514,150.8,0.0542,5000,20,5429,2 years,65
484323,NJ,INDIVIDUAL,2 years,control point assoc,A,MORTGAGE,44357,44243,00:00.0,Fully Paid,44421,616593,Car,A1, 36 months,Not Verified,52000,0.1452,146.88,0.0639,4800,28,5288,2 years,65
1022407,LA,INDIVIDUAL,3 years,Larry Grayson Trucking,A,MORTGAGE,44511,44301,00:00.0,Fully Paid,44452,1251195,Car,A2, 36 months,Not Verified,76800,0.1034,184.23,0.0662,6000,27,6514,3 years,65
466091,NY,INDIVIDUAL,3 years,New York State DEC,A,MORTGAGE,44539,44241,00:00.0,Fully Paid,44573,585294,Car,A2, 36 months,Not Verified,60000,0.1276,139.77,0.074,4500,33,5032,3 years,65
839671,MD,INDIVIDUAL,4 years,Onyx Power,A,MORTGAGE,44419,44332,00:00.0,Fully Paid,44453,1049845,Car,A2, 36 months,Not Verified,96000,0.016,292.01,0.0599,9600,11,10512,4 years,65
511422,WI,INDIVIDUAL,4 years,van galder bus co.,A,MORTGAGE,44326,44271,00:00.0,Fully Paid,44360,660596,Car,A3, 36 months,Not Verified,45000,0.048,46.41,0.0714,1500,29,1671,4 years,65
470186,WA,INDIVIDUAL,5 years,Peak CMS,A,MORTGAGE,44206,44240,00:00.0,Fully Paid,44240,593497,Car,A2, 36 months,Not Verified,72000,0.2152,496.95,0.074,16000,23,17890,5 years,75
591656,NM,INDIVIDUAL,5 years,STATE FARM INSURANCE,A,MORTGAGE,44479,44240,00:00.0,Fully Paid,44240,759924,Car,A4, 36 months,Not Verified,38400,0.1072,186.67,0.0751,6000,13,6641,5 years,75
504878,MD,INDIVIDUAL,5 years,S.P. Richards,A,MORTGAGE,44296,44359,00:00.0,Fully Paid,44389,650279,Car,A4, 36 months,Not Verified,100000,0.0803,342.21,0.0751,11000,36,12106,5 years,75
636676,NY,INDIVIDUAL,6 years,Town of Cheektowaga,A,MORTGAGE,44540,44210,00:00.0,Fully Paid,44241,815592,Car,A2, 36 months,Not Verified,51000,0.0137,181.97,0.0579,6000,10,6551,6 years,65
608997,UT,INDIVIDUAL,6 years,Avocent Corp,A,MORTGAGE,44510,44481,00:00.0,Fully Paid,44512,773056,Car,A5, 36 months,Not Verified,97000,0.1018,252.86,0.0691,12975,12,8921,6 years,65
446193,PA,INDIVIDUAL,7 years,Compleat Restorations,A,MORTGAGE,44478,44302,00:00.0,Fully Paid,44512,423921,Car,A2, 36 months,Not Verified,52700,0.1724,124.24,0.074,4000,18,4472,7 years,65
444464,MD,INDIVIDUAL,< 1 year,Indus Corporation,A,MORTGAGE,44448,44450,00:00.0,Fully Paid,44539,541920,Car,A3, 36 months,Not Verified,45000,0.1139,185.76,0.0774,5950,18,5989,1 year,70
997561,KY,INDIVIDUAL,10+ years,S&S Tire,A,MORTGAGE,44480,44545,00:00.0,Fully Paid,44359,1222660,Car,A3, 36 months,Not Verified,80796,0.1019,155.56,0.0751,5000,29,5061,10 years,80
749248,TX,INDIVIDUAL,7 years,Dematic Corp.,A,MORTGAGE,44327,44332,00:00.0,Fully Paid,44329,948466,Car,A3, 36 months,Not Verified,73440,0.0559,216.11,0.0699,7000,11,7670,7 years,65
1032953,NY,INDIVIDUAL,10+ years,NY State,A,MORTGAGE,44511,44484,00:00.0,Fully Paid,44239,1262713,Car,A5, 36 months,Not Verified,47500,0.1976,111.14,0.089,3500,34,3526,10 years,80
888206,AR,INDIVIDUAL,10+ years,TEMPLE INLAND,A,MORTGAGE,44450,44511,00:00.0,Fully Paid,44541,1104499,Car,A2, 36 months,Not Verified,49536,0.0908,159.66,0.0662,5200,29,5229,10 years,80
777143,MO,INDIVIDUAL,10+ years,Lee's Summit Schools,A,MORTGAGE,44358,44332,00:00.0,Fully Paid,44268,979595,Car,A3, 36 months,Not Verified,69600,0.131,37.05,0.0699,1200,22,1305,10 years,80
664660,AZ,INDIVIDUAL,3 years,TransPac Aviation Academy,A,MORTGAGE,44238,44480,00:00.0,Fully Paid,44511,849849,Car,A1, 36 months,Not Verified,90000,0.1035,90.48,0.0542,3000,30,3099,3 years,65
578534,CO,INDIVIDUAL,3 years,Holland Hart LLP,A,MORTGAGE,44449,44423,00:00.0,Fully Paid,44482,743854,Car,A5, 36 months,Not Verified,35100,0.1593,145.46,0.0788,4650,10,5237,3 years,65
660364,CA,INDIVIDUAL,6 years,Universal Punch Corp.,A,MORTGAGE,44207,44359,00:00.0,Fully Paid,44389,844598,Car,A3, 36 months,Not Verified,81504,0.2488,74.02,0.0692,2400,27,2572,6 years,65
537890,MA,INDIVIDUAL,8 years,valley Plating,A,MORTGAGE,44357,44391,00:00.0,Fully Paid,44420,694760,Car,A3, 36 months,Not Verified,57000,0.1166,216.59,0.0714,7000,30,7699,8 years,65
784597,VA,INDIVIDUAL,1 year,Fleetwood Goldcowyard,A,MORTGAGE,44358,44513,00:00.0,Fully Paid,44481,963690,Car,A2, 36 months,Not Verified,60000,0.026,228.14,0.0599,7500,30,7911,1 year,70
1004390,IL,INDIVIDUAL,2 years,Tony Pai LLC,A,MORTGAGE,44480,44268,00:00.0,Fully Paid,44299,1230821,Car,A2, 36 months,Not Verified,124800,0.1124,153.52,0.0662,5000,25,5182,2 years,65
577896,WV,INDIVIDUAL,2 years,AEP,A,MORTGAGE,44449,44332,00:00.0,Fully Paid,44299,743084,Car,A4, 36 months,Not Verified,97200,0.0877,171.11,0.0751,5500,26,6138,2 years,65
607161,CA,INDIVIDUAL,5 years,st joseph,A,MORTGAGE,44510,44358,00:00.0,Fully Paid,44327,778911,Car,A2, 36 months,Not Verified,60000,0.0398,193.34,0.0579,7200,13,6493,5 years,75
784065,CA,INDIVIDUAL,8 years,DDI,A,MORTGAGE,44358,44361,00:00.0,Fully Paid,44422,987239,Car,A3, 36 months,Not Verified,44000,0.0982,111.15,0.0699,3600,21,4001,8 years,65
375143,NJ,INDIVIDUAL,< 1 year,United Natural Food Inc,A,MORTGAGE,44205,44300,00:00.0,Fully Paid,44267,397032,Car,A2, 36 months,Not Verified,105000,0.1409,155.96,0.0768,5000,38,5614,1 year,70
571927,WY,INDIVIDUAL,10+ years,Murphy's Mountain Jewelers,A,MORTGAGE,44418,44269,00:00.0,Fully Paid,44482,735661,Car,A3, 36 months,Not Verified,22000,0.1309,222.78,0.0714,7200,15,8020,10 years,80
563254,TX,INDIVIDUAL,5 years,L-3 Communications,A,MORTGAGE,44418,44297,00:00.0,Fully Paid,44358,724759,Car,A3, 36 months,Not Verified,88000,0.0068,123.77,0.0714,4000,22,4117,5 years,75
582666,NM,INDIVIDUAL,10+ years,City of Rio Rancho,B,MORTGAGE,44449,44482,00:00.0,Fully Paid,44513,748779,Car,B2, 36 months,Not Verified,60000,0.2288,166.37,0.1075,5100,29,5989,10 years,80
768960,WV,INDIVIDUAL,10+ years,Leslie Equipment Co.,B,MORTGAGE,44327,44330,00:00.0,Fully Paid,44482,970363,Car,B5, 36 months,Not Verified,65000,0.0762,149.45,0.1199,4500,6,5316,10 years,80
485006,PA,INDIVIDUAL,2 years,Prudential,B,MORTGAGE,44265,44449,00:00.0,Fully Paid,44479,617757,Car,B2, 36 months,Not Verified,131000,0.2183,362.71,0.1025,11200,34,11655,2 years,65
736278,SC,INDIVIDUAL,2 years,Quality Carriers,B,MORTGAGE,44297,44330,00:00.0,Fully Paid,44361,933143,Car,B4, 36 months,Not Verified,96000,0.2493,136.99,0.1074,4200,49,4931,2 years,65
776333,KY,INDIVIDUAL,3 years,med plus staffing,B,MORTGAGE,44358,44361,00:00.0,Fully Paid,44391,978668,Car,B4, 36 months,Not Verified,76800,0.1775,164.86,0.1149,5000,8,5935,3 years,65
787055,OH,INDIVIDUAL,4 years,Swagelok,B,MORTGAGE,44358,44240,00:00.0,Fully Paid,44267,990554,Car,B3, 36 months,Not Verified,39000,0.0231,106.39,0.1099,3250,13,3443,4 years,65
1004136,GA,INDIVIDUAL,6 years,Polychem,B,MORTGAGE,44480,44332,00:00.0,Fully Paid,44544,1230766,Car,B1, 36 months,Not Verified,83000,0.1865,161.13,0.0991,5000,18,5800,6 years,65
676230,AL,INDIVIDUAL,9 years,"Cork, Hill and Company, L.L.C.",B,MORTGAGE,44266,44332,00:00.0,Fully Paid,44300,864190,Car,B2, 36 months,Not Verified,54996,0.0539,484.01,0.1,15000,11,17424,9 years,65
494363,NM,INDIVIDUAL,1 year,,B,MORTGAGE,44265,44419,00:00.0,Fully Paid,44480,632851,Car,B4, 36 months,Not Verified,45000,0.1125,108.03,0.1099,3300,13,3712,1 year,70
636721,MD,INDIVIDUAL,10+ years,The American Sugar Refiining Co,B,MORTGAGE,44540,44332,00:00.0,Fully Paid,44240,815649,Car,B3, 36 months,Not Verified,99750,0.0729,385.07,0.0962,12000,18,13631,10 years,80
